province,folder_url,has_link,indexed_ok,raw_ok,n_items,n_dirs,n_files,n_pdfs,latest_modtime,ts_utc,error,folder_id
สุรินทร์,https://drive.google.com/drive/u/0/folders/1CYvOxPmnWfImGLJyv5Nktx7R6uR7VV6j?sort=13&direction=a,True,False,False,0,0,0,0,,,,
สุโขทัย,https://drive.google.com/drive/folders/1vDNUdsIBQUVVe1wX2sRfs-hzJ6g_eAkn,True,True,True,2238,905,1333,1333,2026-02-11T19:29:46.159Z,2026-02-12T13:57:23Z,,1vDNUdsIBQUVVe1wX2sRfs-hzJ6g_eAkn
หนองคาย,https://drive.google.com/drive/folders/1pgb4CNpWnsS7t487PHavovUYYmO0VzlJ,True,True,True,881,78,803,755,2026-02-12T13:00:25.366Z,2026-02-12T13:38:15Z,,1pgb4CNpWnsS7t487PHavovUYYmO0VzlJ
หนองบัวลำภู,,False,False,False,0,0,0,0,,,,
อำนาจเจริญ,https://drive.google.com/drive/folders/14wkHdjHrTufhVFGsSY6rGT8Pst9HnjVu,True,True,True,1590,164,1426,1424,2026-02-12T13:00:12.000Z,2026-02-12T13:37:40Z,,14wkHdjHrTufhVFGsSY6rGT8Pst9HnjVu
อุดรธานี,https://drive.google.com/drive/u/0/folders/1picxYRg1bxW0QJyrTGG9zEV762sY--Kz,True,False,False,0,0,0,0,,,,
อุตรดิตถ์,,False,False,False,0,0,0,0,,,,
อุทัยธานี,https://drive.google.com/drive/folders/1AEsdI9srCecTof5DeIAs9vYUay4KSzVH,True,True,True,1465,342,1123,1123,2026-02-12T08:27:45.410Z,2026-02-12T13:55:11Z,,1AEsdI9srCecTof5DeIAs9vYUay4KSzVH
อุบลราชธานี,https://drive.google.com/drive/folders/1Nb7hJtDRoQy8VVR_cOfYhF7BHidRcuIH,True,True,True,7063,2254,4809,3380,2026-02-12T10:43:33.034Z,2026-02-12T13:33:11Z,,1Nb7hJtDRoQy8VVR_cOfYhF7BHidRcuIH
อ่างทอง,https://drive.google.com/drive/folders/1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc,True,True,True,1582,581,1001,998,2026-02-12T05:04:05.000Z,2026-02-12T13:16:13Z,,1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc
เชียงราย,https://drive.google.com/drive/folders/1w6ExwHN1c2qakXqUxAh7KmTJmZT-SSOo,True,False,True,33,33,0,0,2026-02-10T04:29:52.429Z,2026-02-12T13:54:56Z,,1w6ExwHN1c2qakXqUxAh7KmTJmZT-SSOo
เชียงใหม่,https://drive.google.com/drive/folders/1RWvYL-2KyyyCKGjF6qj39qKkpUjI6oML?usp=sharing,True,True,True,1960,710,1250,1249,2026-02-12T11:17:44.637Z,2026-02-12T13:50:33Z,,1RWvYL-2KyyyCKGjF6qj39qKkpUjI6oML
เพชรบุรี,https://drive.google.com/drive/folders/1rLzQX8s86Dy5-gkSoaMr-fGfHOfyKOMj,True,True,True,2408,871,1537,1537,2026-02-12T06:12:43.000Z,2026-02-12T14:07:12Z,,1rLzQX8s86Dy5-gkSoaMr-fGfHOfyKOMj
เพชรบูรณ์,https://drive.google.com/drive/folders/11xsNcsLAmjIIpBZu48FdjBFMerqQjNAQ,True,True,True,598,47,551,390,2026-02-12T14:02:15.322Z,2026-02-12T14:02:37Z,,11xsNcsLAmjIIpBZu48FdjBFMerqQjNAQ
เลย,https://drive.google.com/drive/folders/1_MBbOA5r_HG5PA8dY8tzckP0nEzPPZcs,True,True,True,1065,293,772,772,2026-02-12T12:07:23.548Z,2026-02-12T13:37:54Z,,1_MBbOA5r_HG5PA8dY8tzckP0nEzPPZcs
แพร่,https://drive.google.com/drive/folders/1wD2ICNJHLhW0UaisZpW8ie49RC8Ba50v?usp=drive_link,True,True,True,2690,1035,1655,1566,2026-02-12T11:28:37.627Z,2026-02-12T13:52:50Z,,1wD2ICNJHLhW0UaisZpW8ie49RC8Ba50v
แม่ฮ่องสอน,https://drive.google.com/drive/folders/1pM3S1USNWiOptbXo3bohzh5TvibXwWge,True,False,True,201,201,0,0,2026-02-12T00:52:58.871Z,2026-02-12T13:54:58Z,,1pM3S1USNWiOptbXo3bohzh5TvibXwWge
